field,crop,acres,yield_bu_ac
Home,Oats,160,99.8
Kestrel,Canola,160,29.0
Meadowvale,Spring Wheat,120,62.4
Nightjar,Spring Wheat,160,39.5
Rented,Barley,160,83.7
Coulee,Canola,320,35.5
Ridge,Canola,160,31.4
Slough,Oats,160,92.4
Northeast,Barley,320,61.2
Southwest,Canola,80,37.5
Bluff,Oats,80,113.0
Creek,Spring Wheat,80,43.8
Ravine,Spring Wheat,320,64.8
Hilltop,Canola,80,34.3
Bottom,Oats,320,109.9
Corner,Oats,120,82.0
Railway,Canola,80,37.1
School,Peas,160,54.3
Church,Oats,240,78.7
Quarter,Barley,160,62.5
