ticket_id,field,weight_tonnes
05601,Coulee,28.0
05602,Ravine,35.9
05603,Nightjar,28.3
05604,Northeast,25.6
05605,Northeast,32.9
05606,Meadowvale,41.9
05607,Corner,43.1
05608,Kestrel,21.4
05609,Ravine,33.1
05610,Hilltop,25.0
05611,Railway,27.1
05612,Coulee,38.1
05613,Slough,35.7
05614,Bottom,31.8
05615,Rented,27.8
05616,Creek,31.1
05617,Southwest,43.6
05618,Hilltop,37.9
05619,Church,24.3
05620,Ravine,38.6
05621,Creek,21.6
05622,Rented,40.1
05623,Railway,26.6
05624,Northeast,21.4
05625,Kestrel,34.0
05626,Hilltop,28.2
05627,Rented,29.7
05628,Bluff,32.4
05629,Bluff,33.2
05630,Bluff,34.7
