Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Viewfield,160,38.3,166.8,120.8,13.9
F016,AAC Viewfield,160,40.3,175.5,123.2,11.5
F002,CDC Landmark,320,39.6,344.9,88.6,11.7
F003,AAC Viewfield,160,54.6,237.8,95.4,12.4
F004,CDC Landmark,320,52.1,453.8,124.8,15.2
F005,AAC Viewfield,240,38.3,250.2,121.6,13.2
F007,CDC Landmark,320,58.6,510.4,110.0,12.3
F006,AAC Brandon,320,42.0,365.8,125.6,12.8
F007,CDC Landmark,320,58.6,510.4,110.0,12.3
F008,CDC Landmark,80,46.9,102.1,130.0,15.0
F009,CDC Landmark,320,66.4,578.4,128.2,13.2
F010,AAC Viewfield,320,72.0,627.1,105.0,14.9
F011,AAC Viewfield,160,64.4,280.5,93.4,12.4
F012,CDC Landmark,120,46.0,150.3,108.7,12.0
F013,AAC Brandon,80,52.2,113.7,85.5,14.9
F014,CDC Landmark,120,40.5,132.3,93.5,14.8
F001,AAC Viewfield,160,38.3,166.8,120.8,13.9
F015,AAC Viewfield,320,68.7,598.4,103.3,12.5
F016,AAC Viewfield,160,40.3,175.5,123.2,11.5
F017,AAC Brandon,160,59.2,257.8,107.9,14.4
F018,AAC Viewfield,320,67.9,591.4,95.6,14.1
F019,AAC Brandon,160,59.9,260.9,112.5,12.1
F020,AAC Viewfield,120,57.8,188.8,109.7,15.4
