Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Viewfield,160,70.6,307.5,134.8,14.0
F002,AAC Viewfield,80,59.6,129.8,116.6,14.9
F003,CDC Landmark,320,43.1,375.4,118.1,14.9
F004,AAC Brandon,320,51.6,449.5,95.4,13.3
F005,CDC Landmark,160,42.8,186.4,127.9,14.9
F006,AAC Brandon,160,58.6,255.2,125.1,14.8
F007,AAC Viewfield,160,70.5,307.0,99.6,12.8
F008,AAC Viewfield,160,49.3,214.7,129.5,12.2
F009,CDC Landmark,160,44.0,191.6,133.7,14.3
F010,AAC Viewfield,120,40.8,133.3,103.6,14.5
F011,AAC Viewfield,160,71.1,309.7,100.2,13.6
F012,AAC Brandon,240,44.3,289.4,111.9,13.0
F013,CDC Landmark,320,60.5,527.0,107.9,14.4
F014,AAC Brandon,80,58.5,127.4,132.1,14.6
F015,AAC Brandon,320,42.2,367.6,85.8,12.7
F016,AAC Viewfield,80,54.2,118.0,130.2,12.6
F020,AAC Brandon,320,63.5,520.9,108.1,14.0
F017,AAC Brandon,80,64.6,140.7,89.5,12.1
F018,AAC Viewfield,80,66.5,144.8,103.2,13.9
F017,AAC Brandon,80,68.3,140.7,89.5,12.1
F019,CDC Landmark,120,48.4,158.1,102.5,14.8
F020,AAC Brandon,320,59.8,520.9,108.1,14.0
