Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Viewfield,320,42.5,370.2 t,111.0,14.3
F002,AAC Viewfield,320,63.4,552.2 t,128.2,12.4
F003,AAC Viewfield,240,56.4,368.4 t,109.0,13.6
F004,AAC Viewfield,160,47.9,208.6 t,91.0,14.3
F005,AAC Brandon,80,59.2,128.9 t,103.5,14.3
F006,AAC Viewfield,80,52.5,114.3 t,111.7,13.9
F007,AAC Brandon,120,45.6,148.9 t,92.9,14.6
F008,AAC Brandon,320,71.6,623.7 t,133.5,12.4
F009,AAC Brandon,320,65.5,570.5 t,96.9,12.0
F010,AAC Viewfield,320,58.5,509.6 t,88.4,12.8
F011,AAC Viewfield,240,71.2,465.1 t,123.8,13.5
F012,CDC Landmark,120,55.9,182.6 t,106.1,11.8
F013,AAC Viewfield,80,60.4,131.5 t,117.3,14.2
F014,CDC Landmark,80,69.0,150.3 t,104.5,14.0
F015,AAC Viewfield,160,43.0,187.3 t,105.4,15.4
F016,AAC Brandon,240,68.3,446.2 t,91.8,12.6
F017,CDC Landmark,320,60.4,526.1 t,97.5,13.5
F018,AAC Brandon,320,42.8,372.8 t,87.0,12.6
F019,AAC Brandon,240,57.9,378.2 t,127.2,12.3
F020,CDC Landmark,160,69.5,302.7 t,113.9,15.1
