field,crop,acres,yield_bu_ac
Home,Spring Wheat,240,62.9
Kestrel,Barley,240,69.5
Meadowvale,Oats,320,106.0
Nightjar,Peas,160,52.9
Rented,Canola,160,33.9
Coulee,Spring Wheat,240,67.3
Ridge,Spring Wheat,240,40.1
Slough,Canola,80,53.3
Northeast,Oats,320,101.0
Southwest,Peas,160,48.3
Bluff,Spring Wheat,80,45.4
Creek,Spring Wheat,160,57.4
Ravine,Oats,240,124.5
Hilltop,Oats,120,101.5
Bottom,Spring Wheat,80,63.6
Corner,Spring Wheat,160,51.2
Railway,Canola,320,46.2
School,Spring Wheat,120,65.7
Church,Barley,160,82.3
Quarter,Canola,120,40.4
