Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Viewfield,160,38.1,165.9,127.9,12.1
F002,CDC Landmark,120,63.5,207.4,129.8,12.9
F003,CDC Landmark,160,69.2,301.4,118.5,14.1
F004,AAC Viewfield,320,70.7,615.8,97.6,14.6
F005,CDC Landmark,160,59.4,258.7,119.5,11.8
F006,AAC Viewfield,160,45.1,196.4,132.3,12.1
F007,AAC Viewfield,120,54.7,178.7,127.0,12.1
F008,CDC Landmark,160,41.3,179.9,126.6,15.1
F009,CDC Landmark,160,49.0,213.4,115.5,14.3
F010,AAC Viewfield,320,43.0,374.5,125.2,12.4
F011,CDC Landmark,320,44.3,385.9,111.2,13.7
F012,AAC Viewfield,320,-8,554.9,132.1,12.1
F013,AAC Viewfield,320,68.0,592.3,120.8,13.4
F014,CDC Landmark,160,57.7,251.3,109.8,12.9
F015,AAC Brandon,320,54.9,478.2,121.2,15.0
F016,CDC Landmark,120,52.3,170.8,111.1,15.3
F017,CDC Landmark,320,64.4,560.9,113.7,13.2
F018,AAC Brandon,80,53.0,115.4,88.8,14.8
F019,CDC Landmark,160,46.2,201.2,107.1,13.1
F020,CDC Landmark,160,1250,253.0,90.9,12.1
