Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Brandon,160,54.7,238.2,96.7,13.1
F002,AAC Viewfield,320,64.5,561.8,124.4,14.0
F003,AAC Viewfield,160,41.0,178.6,94.8,14.5
F004,AAC Viewfield,160,70.1,305.3,133.5,13.2
F005,AAC Viewfield,160,46.1,200.8,133.8,13.9
F006,AAC Viewfield,320,48.5,422.5,126.9,12.2
F007,AAC Viewfield,160,4.1,284.4,97.3,13.8
F008,AAC Viewfield,160,53.4,232.6,119.1,15.3
F009,AAC Brandon,80,66.3,144.4,123.2,13.2
F010,AAC Viewfield,240,58.8,384.1,106.6,13.6
F011,CDC Landmark,320,44.9,391.1,130.8,14.8
F012,AAC Viewfield,120,54.2,177.0,128.1,12.5
F013,CDC Landmark,240,48.2,314.9,119.5,12.1
F014,AAC Brandon,320,68.7,598.4,116.5,12.2
F015,CDC Landmark,160,65.0,283.1,97.2,11.7
F016,AAC Brandon,160,66.5,289.6,100.9,12.3
F017,AAC Brandon,240,138.0,262.0,119.1,15.4
F018,AAC Brandon,320,97.5,479.9,99.0,13.2
F019,AAC Brandon,160,69.5,302.7,110.8,13.3
F020,CDC Landmark,80,48.9,106.5,87.5,15.3
