Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,CDC Landmark,320,-99,622.8,86.1,12.8
F002,CDC Landmark,160,52.9,230.4,115.3,11.9
F003,AAC Viewfield,160,60.1,261.7,127.8,13.3
F004,AAC Brandon,160,-99,311.4,115.7,13.9
F005,AAC Viewfield,80,40.5,88.2,111.5,11.8
F006,CDC Landmark,320,49.7,432.9,88.6,13.2
F007,CDC Landmark,80,-99,100.2,129.4,12.8
F008,CDC Landmark,160,43.5,189.5,107.5,15.4
F009,AAC Viewfield,160,60.7,264.4,90.4,13.5
F010,AAC Viewfield,80,44.3,96.5,86.4,15.1
F011,AAC Brandon,80,55.0,119.8,112.7,14.2
F012,AAC Brandon,160,44.7,194.7,120.3,12.7
F013,AAC Brandon,160,46.4,202.1,101.8,14.6
F014,AAC Viewfield,160,42.6,185.5,122.1,12.0
F015,AAC Viewfield,160,52.5,228.6,125.9,14.0
F016,AAC Viewfield,320,61.1,532.2,105.2,15.3
F017,CDC Landmark,80,65.7,143.1,102.9,11.9
F018,CDC Landmark,160,-99,169.9,98.7,12.8
F019,AAC Viewfield,80,41.1,89.5,93.5,12.3
F020,CDC Landmark,120,71.4,233.2,90.2,13.1
