field,crop,acres,yield_bu_ac
Home,Barley,320,88.6
Kestrel,Oats,160,104.7
Meadowvale,Spring Wheat,240,55.7
Nightjar,Canola,120,51.5
Rented,Spring Wheat,320,65.6
Coulee,Peas,320,44.6
Ridge,Oats,160,109.0
Slough,Oats,160,72.0
Northeast,Canola,160,35.3
Southwest,Barley,320,86.6
Bluff,Spring Wheat,80,71.8
Creek,Canola,320,53.8
Ravine,Barley,160,56.1
Hilltop,Peas,240,52.4
Bottom,Oats,80,82.6
Corner,Spring Wheat,320,51.5
Railway,Spring Wheat,320,65.9
School,Oats,160,92.0
Church,Oats,320,117.5
Quarter,Peas,320,40.1
