Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,CDC Landmark,240,42.9,280.3,110.5,14.4
F002,Brandon,80,41.5,90.4,112.0,12.1
F003,CDC Landmark,80,71.3,155.3,85.8,14.9
F004,AAC Brandon,320,53.7,467.7,88.1,12.5
F005,Brandon AAC,160,56.0,243.9,121.7,14.3
F006,Brandon,160,71.6,311.8,109.9,12.6
F007,AAC Brandon,320,43.0,374.5,127.2,12.2
F008,CDC Landmark,320,71.4,621.9,129.4,13.4
F009,Brndon,160,43.0,187.3,132.2,11.5
F010,AAC Brandon,160,54.1,235.6,122.0,14.5
F011,CDC Landmark,320,68.2,594.0,120.1,13.3
F012,AAC Brandon,240,42.9,280.3,94.6,13.9
F013,CDC Landmark,240,52.4,342.3,97.5,12.4
F014,CDC Landmark,320,53.4,465.1,109.6,13.9
F015,AAC Brandon,320,68.7,598.4,97.8,13.4
F016,Brandon AAC,320,62.4,543.5,114.0,15.3
F017,Brndon,160,55.8,243.0,132.7,12.9
F018,AAC Brandon,160,53.3,232.1,85.9,14.3
F019,CDC Landmark,120,68.5,223.7,111.1,11.6
F020,CDC Landmark,240,41.5,271.1,99.7,13.1
