Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,CDC Landmark,160,40.0,174.2,132.2,145
F002,AAC Viewfield,160,43.6,189.9,113.8,12.2
F003,AAC Brandon,160,67.7,294.8,118.4,12.8
F004,AAC Brandon,80,49.4,107.6,105.3,14.5
F005,CDC Landmark,80,48.0,104.5,111.7,13.8
F006,CDC Landmark,160,65.9,287.0,113.7,15.2
F007,AAC Brandon,160,48.8,212.5,91.5,12.3
F008,CDC Landmark,240,68.0,444.2,88.2,15.0
F009,AAC Brandon,160,57.5,250.4,94.9,14.5
F010,CDC Landmark,240,65.8,429.9,117.9,14.7
F011,CDC Landmark,240,67.6,441.6,126.6,15.2
F012,AAC Brandon,80,53.4,116.3,122.5,14.1
F013,CDC Landmark,120,39.4,128.7,123.0,11.5
F014,AAC Brandon,80,41.4,90.2,113.5,12.7
F015,AAC Viewfield,80,43.5,94.7,108.7,14.7
F016,CDC Landmark,320,46.7,406.8,100.0,11.9
F017,AAC Brandon,320,39.3,342.3,121.5,9999
F018,AAC Viewfield,120,53.5,174.8,128.4,9999
F019,CDC Landmark,240,68.8,449.5,107.3,14.3
F020,CDC Landmark,160,59.5,259.1,90.9,13.5
