Field ID,VARIETY_NAME,Acres,Yield (bu/ac),Harvest Weight,N Rate,Moisture %
F001,AAC Brandon,80,38.8,84.5 t,127.7,N/A
F002,AAC Brandon,320,48.3,420.7 t,0.133,14.8
F003,CDC Landmark,240,51.8,338.4 t,95.9,15.2
F004,AAC Viewfield,80,-99,131.7 t,132.7,12.1
F005,CDC Landmark,320,69.9,608.9 t,85.3,14.0
F006,AAC Viewfield,160,45.0,196.0 t,90.2,12.5
F007,AAC Viewfield,120,1250,209.7 t,128.1,12.5
F008,CDC Landmark,160,44.4,193.4 t,96.1,12.8
F009,Brandon AAC,160,49.5,215.6 t,129.4,13.4
F010,AAC Viewfield,160,41.5,180.7 t,0.122,12.4
F011,CDC Landmark,160,43.6,189.9 t,132.4,14.5
F014,AAC Viewfield,80,69.4,151.1 t,117.0,15.0
F004,AAC Viewfield,80,-99,131.7 t,132.7,12.1
F012,AAC Viewfield,320,66.1,575.8 t,126.0,14.5
F013,AAC Brandon,320,68.9,600.1 t,108.4,12.8
F014,AAC Viewfield,80,69.4,151.1 t,117.0,15.0
F015,CDC Landmark,320,55.2,480.8 t,120.9,11.9
F016,Brndon,120,68.3,223.1 t,93.2,9999
F017,CDC Landmark,240,70.2,458.6 t,122.3,15.3
F018,CDC Landmark,160,-99,218.2 t,108.5,12.6
F019,Brandon,240,53.4,348.9 t,131.7,12.0
F020,CDC Landmark,320,65.7,572.3 t,129.6,12.0
